Toy Story|John Lasseter|Tom Hanks&&Tim Allen&&Don Rickles&&Jim Varney&&Wallace Shawn&&John Ratzenberger&&Annie Potts&&John Morris&&Erik von Detten&&Laurie Metcalf&&R. Lee Ermey&&Sarah Freeman&&Penn Jillette&&Jack Angel&&Spencer Aste&&Greg Berg&&Lisa Bradley&&Kendall Cunningham&&Debi Derryberry&&Cody Dorkin&&Bill Farmer&&Craig Good&&Gregory Grudt&&Danielle Judovits&&Sam Lasseter&&Brittany Levenbrown&&Sherry Lynn&&Scott McAfee&&Mickie McGowan&&Ryan O'Donohue&&Jeff Pidgeon&&Patrick Pinney&&Phil Proctor&&Jan Rabson&&Joe Ranft&&Andrew Stanton&&Shane Sweet&&Alexander Glæsel&&Hannah Unkrich|Bonnie Arnold&&Ed Catmull&&Ralph Guggenheim&&Steve Jobs|John Lasseter&&Pete Docter&&Andrew Stanton&&Joe Ranft&&Joss Whedon&&Andrew Stanton&&Joel Cohen&&Alec Sokolow|USA|English|1995|Animation&&Adventure&&Comedy&&Family&&Fantasy|134102|8.1|Turkey:74::(TV version)|A little boy named Andy loves to be in his room, playing with his toys, especially his doll named "Woody". But, what do the toys do when Andy is not with them, they come to life. Woody believes that he has life (as a toy) good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.::John Wiggins&&Toy Story is about the 'secret life of toys' when people are not around. When Buzz Lightyear, a space-ranger, takes Woody's place as Andy's favorite toy, Woody doesn't like the situation and gets into a fight with Buzz. Accidentaly Buzz falls out the window and Woody is accused by all the other toys of having killed him. He has to go out of the house to look for him so that they can both return to Andys room. But while on the outside they get into all kind of trouble while trying to get home.::Marcos Eduardo Acosta Aldrete&&Imagination runs rampant when toys become mobile when not watched. Two toys, Woody and Buzz Lightyear despise each other like no other. But, when the toys are separated from their home, a truce is formed between them all in an effort to journey home.::Joshua Davis <xtnb64a@prodigy.com>&&A toy named Woody has it all. He is practically the leader in Andy's toy room, Bo Peep has the hots for him, and most importantly, he is Andy's favorite toy. But when the clocks strike Andy's birthday, a new toy arrives. Buzz Lightyear, a space cadet who thinks he is a space ranger, (not a toy in a room) instantly wins over Andy, thus becoming Andy's new treasure. But when Woody is accused of knocking Buzz out of the window, he must go into the world and find Buzz, with many delays...::neo101&&Andy Davis is an ordinary boy. Or so he thought. His baby sister, mother, and he live in a nice little house. The only problem that Andy doesn't know about is his toys. After he plays with them, they come to life. Woody, Bo Peep, Rex, Slinky, Mr. Potato Head, Hamm, Lenny, Slinky, Mr. Spell, and a few others are his toys. Then, as a rivalry begins between Woody and new toy Buzz.::bookmanjunior|http://ia.media-imdb.com/images/M/MV5BMTIyMjcwMjgyMF5BMl5BanBnXkFtZTcwODg0NzAzMQ@@._V1._SX80_SY140_.jpg
Jumanji|Joe Johnston|Robin Williams&&Jonathan Hyde&&Kirsten Dunst&&Bradley Pierce&&Bonnie Hunt&&Bebe Neuwirth&&David Alan Grier&&Patricia Clarkson&&Adam Hann-Byrd&&Laura Bell Bundy&&James Handy&&Gillian Barber&&Brandon Obray&&Cyrus Thiedeke&&Gary Joseph Thorup&&Leonard Zola&&Lloyd Berry&&Malcolm Stewart&&Annabel Kershaw&&Darryl Henriques&&Robyn Driscoll&&Peter Bryant&&Sarah Gilson&&Florica Vlad&&June Lion&&Brenda Lockmuller&&Frederick Richardson&&Frank Welker&&Jaysen Clough&&Daniel Olsen&&David Szehi&&Tom Woodruff Jr.|Robert W. Cort&&Ted Field&&Larry J. Franco&&Scott Kroopf&&William Teitler|Jonathan Hensleigh&&Greg Taylor&&Jim Strain&&Greg Taylor&&Jim Strain&&Chris Van Allsburg&&Chris Van Allsburg|USA|English|1995|Adventure&&Family&&Fantasy&&Thriller|51284|6.4|104|After being trapped in a jungle board game for 26 years, a Man-Child wins his release from the game. But, no sooner has he arrived that he is forced to play again, and this time sets the creatures of the jungle loose on the city. Now it is up to him to stop them.::Joshua Davis <xtnb64a@prodigy.com>&&Alan Parris has been trapped in an ancient magical board game, Jumanji, for 25 years. When he is finally freed by two children, a herd of wild exotic animals have accidentally been released as well. Now, Alan must try to save his hometown from destruction.::Dan Goldwasser <dang+@cmu.edu>&&Twelve-year old Alan Parrish finds "Jumanji", a board game, in 1969. He and Sarah Whittle play it that night. When a quote says "In the jungle you must wait, until the dice roll 5 or 8" Alan is suddenly pulled into the game. Twenty-six years later, two more kids find this game. One of them rolls a 5 and Alan Parrish comes back. But he is soon forced to find Sarah and finish the game.::George Britt <georgebritt@Hotmail.com>&&When young Alan Parrish discovers a mysterious board game, he doesn't realize its unimaginable powers until he is magically transported--before the startled eyes of his friend Sarah--into the untamed jungles of Jumanji! There he remains for 26 years until he is freed from the game's spell by two unsuspecting children. Now a grown man, Alan reunites with Sarah and, together with Judy and Peter, tries to outwit the game's powerful forces.::Robert Lynch <docrlynch@yahoo.com>|http://ia.media-imdb.com/images/M/MV5BMzM5NjE1OTMxNV5BMl5BanBnXkFtZTcwNDY2MzEzMQ@@._V1._SX98_SY140_.jpg
Grumpier Old Men|Howard Deutch|Walter Matthau&&Jack Lemmon&&Ann-Margret&&Sophia Loren&&Burgess Meredith&&Daryl Hannah&&Kevin Pollak&&Katie Sagona&&Ann Morgan Guilbert&&James Andelin&&Marcus Klemp&&Max Wright&&Cheryl Hawker&&Wayne A. Evenson&&Allison Levine&&John Patrick Martin&&Adam Ward&&Ryan Waldoch&&James Cada&&Jaclyn Ross&&Kyle Christopherson&&Jeffrey L. Smith&&Geraldo Rivera&&Warren Schueneman&&Jack Mitsch&&Sterling Robson&&Gregory Schuneman&&Denny Schusted&&Michelle Johnston&&Wallace Olson&&Carl Johnson&&Eugene Karels&&Lawrence Grivna&&Tammara Melloy&&Shirley Stoler|Richard C. Berman&&John Davis&&George Folsey Jr.&&John J. Smith&&Elena Spiotta|Mark Steven Johnson&&Mark Steven Johnson|USA|English|1995|Comedy&&Romance|8713|6.3|101|Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years, Grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled "Catfish Hunter", a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel), and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing, but that might change with the new owner of the bait shop.::Murray Chapman <muzzle@cs.uq.oz.au>|http://ia.media-imdb.com/images/M/MV5BMTk5ODU1Njk0Nl5BMl5BanBnXkFtZTcwOTUxMzYyMQ@@._V1._SX77_SY140_.jpg
Waiting to Exhale|Forest Whitaker|Whitney Houston&&Angela Bassett&&Loretta Devine&&Lela Rochon&&Gregory Hines&&Dennis Haysbert&&Mykelti Williamson&&Michael Beach&&Leon&&Wendell Pierce&&Donald Faison&&Jeffrey D. Sams&&Jazz Raycole&&Brandon Hammond&&Kenya Moore&&Lamont Johnson&&Wren T. Brown&&Theo&&Ken Love&&Graham Galloway&&Starletta DuPois&&Shari L. Carpenter&&Thomas R. Leander&&Cordell Conway&&Lee Wells Jr.&&Hope Brown&&Delaina Mitchell&&Luis Sharpe&&Joseph S. Myers&&Ezra Swerdlow&&Ellin La Var&&Patricia Anne Fox&&Wally Bujack&&Brenda Baldwin-Davis&&Kacee DeMasi&&Giancarlo Esposito&&Wanda-Lee Evans&&Tom Hedrick&&Donyell Hinton&&Bob Huff&&Kelly Preston&&Jose Rosete&&Wesley Snipes|Ronald Bass&&Caron K&&Terry McMillan&&Deborah Schindler&&Ezra Swerdlow|Terry McMillan&&Terry McMillan&&Ronald Bass|USA|English|1995|Comedy&&Drama&&Romance|3563|4.9|127|This story based on the best selling novel by Terry McMillan follows the lives of four African-American women as they try to deal with their very lives. Friendship becomes the strongest bond between these women as men, careers, and families take them in different directions. Often light-hearted this movie speaks about some of the problems and struggles the modern women face in today's world.::David Adrine <hdadrine@hotmail.com>|http://ia.media-imdb.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1._SX99_SY140_.jpg
Father of the Bride Part II|Charles Shyer|Steve Martin&&Diane Keaton&&Martin Short&&Kimberly Williams-Paisley&&George Newbern&&Kieran Culkin&&B.D. Wong&&Peter Michael Goetz&&Kate McGregor-Stewart&&Jane Adams&&Eugene Levy&&Rebecca Chambers&&April Ortiz&&Dulcy Rogers&&Kathy Anthony&&Adrian Canzoneri&&Lori Alan&&Stephanie Miller&&Hallie Meyers-Shyer&&Jay Wolpert&&Ann Walker&&Sandra Silvestri&&William Akey&&Seth Kaplan&&Jonathan Emerson&&Joshua Preston&&K.C. Colwell&&Chase Colwell&&Tony Simotes&&Annie Meyers-Shyer&&Linda DeScenna&&Heidi Averill&&Chelsea Lynn&&Sue Colwell&&Rodrigo Botero&&Vince Lozano&&Caroline Lagerfelt&&Ilene Waterstone&&Wendy Worthington&&Dorian Spencer&&Harris Laskaway&&Roxanne Beckford&&Valerie Hemmerich&&Peter Spears&&Susan Beaubian&&Mychael Bates&&Jerri Rose White&&Shannon Kennedy&&Casey Boersma&&Dylan Boersma&&Katie Pierce&&Jonathan Selstad&&Thomas Selstad&&Christian Boeving&&Ashlyn Messick&&Kayley Messick&&Kylie Travis|Carol Baum&&Bruce A. Block&&Julie B. Crane&&Jim Cruickshank&&Sandy Gallin&&Nancy Meyers&&James Orr&&Cindy Williams|Albert Hackett&&Frances Goodrich&&Nancy Meyers&&Charles Shyer|USA|English|1995|Comedy&&Family&&Romance|10348|5.5|106|In this sequel to "Father of the Bride", George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of "rebirth" of his attitude on life when he and his wife, Nina, find how their lives are about to change as well.::Scott Jentsch&&Family trouble continues to plague George Banks. Having survived his daughter's marriage in the first film, he must now deal with her pregnancy. To complicate matters, his wife Nina is pregnant as well!::David Stumme <dstumme@rochester.rr.com>|http://ia.media-imdb.com/images/M/MV5BMTg1NDc2MjExOF5BMl5BanBnXkFtZTcwNjU1NDAzMQ@@._V1._SX100_SY140_.jpg
Heat|Michael Mann|Al Pacino&&Robert De Niro&&Val Kilmer&&Jon Voight&&Tom Sizemore&&Diane Venora&&Amy Brenneman&&Ashley Judd&&Mykelti Williamson&&Wes Studi&&Ted Levine&&Dennis Haysbert&&William Fichtner&&Natalie Portman&&Tom Noonan&&Kevin Gage&&Hank Azaria&&Susan Traylor&&Kim Staunton&&Danny Trejo&&Henry Rollins&&Jerry Trimble&&Martin Ferrero&&Ricky Harris&&Tone Loc&&Begonya Plaza&&Hazelle Goodman&&Ray Buktenica&&Jeremy Piven&&Xander Berkeley&&Rick Avery&&Brad Baldridge&&Andrew Camuccio&&Brian Camuccio&&Max Daniels&&Vince Deadrick Jr.&&Charles Duke&&Thomas Elfmont&&Kenny Endoso&&Kimberly Flynn&&Steven Ford&&Farrah Forke&&Hannes Fritsch&&Amanda Graves&&Emily Graves&&Niki Harris&&Ted Harvey&&Patricia Healy&&Paul Herman&&Cindy Katz&&Brian Libby&&Bill McIntosh&&Dan Martin&&Rick Marzan&&Terry Miller&&Paul Moyer&&Daniel O'Haco&&Mario Roberts&&Phillip Robinson&&Thomas Rosales Jr.&&Rainell Saunders&&Kai Soremekun&&Rey Verdugo&&Wendy L. Walsh&&Yvonne Zima&&Peter Blackwell&&Trevor Coppola&&Bud Cort&&Mick Gould&&Mary Kircher&&Darin Mangan&&Melissa S. Markess&&Robert Miranda&&Manny Perry&&Viviane Vives|Pieter Jan Brugge&&Gusmano Cesaretti&&Art Linson&&Michael Mann&&Arnon Milchan&&Kathleen M. Shea|Michael Mann|USA|English&&Spanish|1995|Action&&Crime&&Drama&&Thriller|134956|8.3|170&&USA:188::(original pre-aired NBC version)|Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending....::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>&&Neil McCauley is a thief... an expert thief... one of the best. His philosophy in life - become attached to nothing in life that you can't walk away from in 30 seconds if you spot the "Heat" around the corner. His crew of criminals is a high-tech outfit pulling off professional jobs that impress even the likes of Detective Vincent Hanna. But Hanna, a man driven through life only by his work, becomes obsessed, at the expense of his private life, with bringing McCauley down. As McCauley's crew prepare for the score of a lifetime, and Hanna's team tries to bring him in, the two find that they are challenged by the greatest minds on the opposite side of the law that either one has ever encountered.::Michael Silva <silvamd@cleo.bc.edu> updated for proper content by vedwed&&In Los Angeles, a gang of armed thieves is hitting serious targets - major banks, vaults, and armored cars. These thieves are led by arch-criminal Neal MacAuley. One of their operations, an armored-car robbery, goes bad and the armored-car guards are murdered by the gunmen - putting LAPD homicide detective Vince Hanna on the trail of the thieves. Hanna knows it will take a lot to bring these dangerous, armed thieves down, and it will end in a horrifying gun battle when the thieves try to rob a major federal bank...::Derek O'Cain|http://ia.media-imdb.com/images/M/MV5BMTM1NDc4ODkxNV5BMl5BanBnXkFtZTcwNTI4ODE3MQ@@._V1._SX97_SY140_.jpg
Sabrina|Sydney Pollack|Harrison Ford&&Julia Ormond&&Greg Kinnear&&Nancy Marchand&&John Wood&&Richard Crenna&&Angie Dickinson&&Lauren Holly&&Dana Ivey&&Miriam Colon&&Elizabeth Franz&&Fanny Ardant&&Valérie Lemercier&&Patrick Bruel&&Becky Ann Baker&&Paul Giamatti&&John C. Vennema&&Gregory Chase&&Margo Martindale&&J. Smith-Cameron&&Christine Luneau-Lipton&&Michael Dees&&Denis Holmes&&Jo-Jo Lowe&&Ira Wheeler&&Philippa Cooper&&Ayako&&François Genty&&Guillaume Gallienne&&Inés Sastre&&Phina Oruche&&Helena&&Katia&&Andrea Behalikova&&Jennifer Herrera&&Kristina Kumlin&&Eva Linderholm&&Stefano Tartini&&Carmen Chaplin&&Micheline Van de Velde&&Joanna Rhodes&&Alan Boone&&Patrick Forster-Delmas&&Kentaro Matsuo&&J.B. Benn&&Peter McKernan&&Ed Connelly&&Ronald L. Schwary&&Kenneth A. MacDonald&&Alvin Lum&&Siching Song&&Phil Nee&&Randy Becker&&Susan Browning&&Saikat Mondal&&Peter Parks&&Compagnie Jolie Môme&&Woodrow W. Asai&&Eric Bruno Borgman&&Michael Cline&&Christopher Del Gaudio&&Jerry Quinn|Lindsay Doran&&Sydney Pollack&&Scott Rudin&&Ronald L. Schwary|Samuel A. Taylor&&Billy Wilder&&Samuel A. Taylor&&Ernest Lehman&&Barbara Benedek&&David Rayfiel|Germany&&USA|English&&French|1995|Comedy&&Romance&&Drama|15193|6.0|127|While she was growing up, Sabrina Fairchild spent more time ] perched in a tree watching the Larrabee family than she ever did on solid ground.As the chauffeur's daughter on their lavish Long Island estate, Sabrina was invisible behind the branches, but she knew them all below... There is Maude Larrabee, the modern matriarch of the Larrabee Corporation; Linus Larrabee, the serious older son who expanded a successful family business into the world's largest communications company; and David, the handsome, fun-loving Larrabee, who was the center of Sabrina's world. Until she was shipped off to Paris. After two years on the staff of Vogue magazine, Sabrina has returned to the Larrabee estate, but now she has blossomed into a beautiful and sophisticated woman. And she's standing in the way of a billion dollar deal.::Cyril Morcrette <cyril@cln46fw.der.edf.fr>&&Sabrina Fairchild is the daughter of the Larrabee family chauffeur. Tha Larrabees are a wealthy and prominent Long Island family. Maude is the mother, Linus is the elder brother, who took charge of the company after his father died and has devoted his entire life to the company, and David is the younger brother, who has not worked a day in his life, and who has had numerous girlfriends, but Sabrina is nontheless enamored with him. But David just thinks of her as the frumpy daughter of the chauffeur. Maude arranges for her to go Paris and work in Vogue. Her fascination with David grows, David in the meantime, meets Elizabeth Tyson and tells Linus and Maude that she could be the one. What he doesn't know at first is that Linus wants to go into business with her parents so he encourages the relationship. But when David finds out, he is furious, Linus then tells him that it's about time that he contributes something and that this deal with Tysons is worth a billion dollars. David somehow proposes to her and she accepts. It's not long after that, that Sabrina returns. And David doesn't recognize her at first, cause she's now a little different. David is also entranced by her. Linus and Maude are concerned that the deal is in jeopardy, if Elizabeth or her parents find out about his pursuit of Sabrina. David injures himself, so Linus tries to distract Sabrina from him. but Linus finds himself feeling things he hasn't felt in years.::rcs0411@yahoo.com|http://ia.media-imdb.com/images/M/MV5BMTYxMTg3OTYyOF5BMl5BanBnXkFtZTcwODE3NTYxMQ@@._V1._SX98_SY140_.jpg
Tom and Huck|Peter Hewitt|Jonathan Taylor Thomas&&Brad Renfro&&Eric Schweig&&Charles Rocket&&Amy Wright&&Michael McShane&&Marian Seldes&&Rachael Leigh Cook&&Lanny Flaherty&&Courtland Mead&&Peter Mackenzie&&Heath Lamberts&&William Newman&&Joey Stinson&&Blake Heron&&Jim Aycock&&Andy Stahl&&Adrian Roberts&&Tiffany Lynn Clark&&Kellen Hathaway&&Mark Cabus&&Bronwen Murray&&Paul Kropfl&&Newell Alexander&&Tommy Lamey&&David Cowgill&&Stuart K. Robinson&&Mitch Carter&&Ike Eisenmann&&Mathew Valencia&&Blake McIver Ewing&&Rosemary Alexander&&Sherry Hursey&&Philece Sampler&&Wendy Cutler&&Tamara Mello&&Edie Mirman&&Toby Scott Ganger&&Austin Kottke&&Courtney Peldon&&Katherine Zarimba&&Emmy Collins&&Adam Crosby&&Ron Clinton Smith&&Wade Woods|John Baldecchi&&Barry Bernardi&&Howard Ellis&&Laurence Mark&&Stephen Sommers|Mark Twain&&Stephen Sommers&&David Loughery|USA|English|1995|Adventure&&Comedy&&Drama&&Family|3076|5.4|97|A mischievous young boy, Tom Sawyer (),witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn (), a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.::Aimee Madlangbayan&&Tom Sawyer and his best "friend" Huck go on many adventures throughout the town of Hannibal, Missouri. Finished by him winning the heart of young Becky Thatcher. Some of the adventures include: finding lost treasure, witnessing a murder, getting lost in a cave, and almost getting killed. Based on the book, Tom Sawyer, by Mark Twain.::<NukeMan95@aol.com>|http://ia.media-imdb.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1._SX98_SY140_.jpg
Sudden Death|Peter Hyams|Jean-Claude Van Damme&&Powers Boothe&&Raymond J. Barry&&Whittni Wright&&Ross Malinger&&Dorian Harewood&&Kate McNeil&&Michael Gaston&&Audra Lindley&&Brian Delate&&Steve Aronson&&Michael R. Aubele&&Karen Elise Baldwin&&Jennifer D. Bowser&&Pat Brisson&&Glenda Morgan Brown&&Jophery C. Brown&&William Cameron&&Bernard Canepari&&Jay Caufield&&Alan Clement&&Bill Clement&&Bill Dalzell&&Gilbert B. Combs&&Jack Erdie&&Ed Evanko&&David Flick&&Glenn Alan Gardner&&John Hall&&Jeff Habberstad&&Mark Hager&&John Hateley&&Rosine 'Ace' Hatem&&Jeff Hochendoner&&Brian Hutchison&&Jeff Jimerson&&Mark Kachowski&&Callum Keith-King&&Rick Le Fevour&&Tommy Lafitte&&Raymond Laine&&Mike Lange&&Butch Luick&&Fred Mancuso&&Anthony Marino&&Larry John Meyers&&Ken Milchick&&Faith Minton&&Paul Mochnick&&Brad Moniz&&Jean-Pierre Nutini&&Daniel R. Pagath&&Manny Perry&&Allan Pinsker&&Douglas Rees&&Diane Robin&&Luc Robitaille&&Thomas Saccio&&Vincent Sciullo&&Jack Skelly&&Brian Smrz&&Phil Spano&&Paul Steigerwald&&John Sterling&&Harold Surratt&&Rohn Thomas&&Milton E. Thompson Jr.&&Dixie Tymitz&&Fred M. Waugh&&Rema D. Webb&&Dean E. Wells&&Jeff Howell&&Shawn Watts&&Joby Harris&&John W. Iwanonkiw&&Kristen Kress&&Markus Näslund&&Bernie Nicholls&&Dwayne Pintoff&&Eric Politowski&&Dan Rosenberg|Howard Baldwin&&Karen Elise Baldwin&&Jason Clark&&Richard M. Cohen&&Moshe Diamant&&Anders P. Jensen&&Deborah Lee&&Jack Frost Sanders&&Ash R. Shah&&Sundip R. Shah&&Sunil R. Shah|Karen Elise Baldwin&&Gene Quintano|USA|English|1995|Action&&Drama&&Thriller|8873|5.2|110|Some terrorists kidnap the Vicepresident of the United States and threaten to blow up the full stadium in which is taking place the final of ice-hockey at the moment. There is only one way and one man to stop them...::Volker Boehm&&Darren McCord takes his two kids to a Pittsburgh Penguins National Hockey League play-off game, unknowing that the sports arena has been taken over by terrorists, who are holding the Vice President of the United States, as well as many other high-ranking officials hostage. Darren later becomes the only one who is aware of the situation. And, the stakes are raised when the terrorists announce that they will blow-up the building at the end of the game. Therefore, Darren must not only subdue the terrorists, but postpone the game and send it to overtime.::David Landers <dml@gwis.com>&&The Vice-President is being held at gunpoint. The Pittsburgh Civic Arena is wired with enough explosives to blow up the whole city. And if $1 billion isn't delivered soon, thousands will die... ...Darren McCord is in the arena. An arson investigator, he's seen what explosives can do to people. And he won't let it happen again. Because this time, one wrong move and his daughter dies, too...::Stephen Mertz|http://ia.media-imdb.com/images/M/MV5BMTcwMTU2OTMxNV5BMl5BanBnXkFtZTcwMzg3MTYyMQ@@._V1._SX96_SY140_.jpg
GoldenEye|Martin Campbell|Pierce Brosnan&&Sean Bean&&Izabella Scorupco&&Famke Janssen&&Joe Don Baker&&Judi Dench&&Robbie Coltrane&&Gottfried John&&Alan Cumming&&Tchéky Karyo&&Desmond Llewelyn&&Samantha Bond&&Michael Kitchen&&Serena Gordon&&Simon Kunz&&Pavel Douglas&&Olivier Lajous&&Billy J. Mitchell&&Constantine Gregory&&Minnie Driver&&Michelle Arthur&&Ravil Isyanov&&Vladimir Milanovich&&Trevor Byfield&&Peter Majer&&Paul Bannon&&Martin Campbell&&Simon Crane&&Terrance Denville&&Max Faulkner&&Derek Lyons&&Wayne Michaels&&Bhasker Patel&&Paul Sacks&&Michael G. Wilson|Barbara Broccoli&&Tom Pevsner&&Anthony Waye&&Michael G. Wilson&&Albert R. Broccoli|Ian Fleming&&Michael France&&Jeffrey Caine&&Bruce Feirstein|UK&&USA|English&&Russian&&Spanish|1995|Action&&Adventure&&Thriller|65627|7.2|130|James Bond has a mission to recover the 'Goldeneye' access key. A Russian computer programmer called Natalya Siminova survives a murder spree by Xenia Onatopp and General Ourumov. Bond must work with Natalya to find this key and uncovers a sinister secret. His fellow agent, Alec Trevelyan who was believed to have been shot and killed 9 years ago re-surfaces. Bond soon realizes that Trevelyan is behind everything. Bond must now battle his former friend, in order to stop him from destroying London with the Goldeneye satellite.::simon&&Bond, while on holiday, meets the beautiful but deadly Xenia Onatopp, a member of a Russia mafia group and attempts to stop Xenia and another person taking the 'Tiger' helicopter, a new design and protected against any form of jamming. Meanwhile, Natalya Siminova, a Russian computer programmer is shocked when her team is wiped out by Xenia and Natalya's boss General Ourumov who steals the top secret space weapon Goldeneye, a satellite which triggers a nuclear pulse in the target area which destroys all electronic equipment. Bond is sent to discover who's got control of the weapon and teaming up with Natalya finds that the real villain is someone who knows Bond of old. An old friend of Bond, Alec Trevelyan, plans to destroy London using Goldeneye to gain revenge on Britain and he is even more dangerous as Alec is an ex-00 agent himself...::Lee Horton <Leeh@tcp.co.uk>&&When a deadly satellite weapon system falls into the wrong hands, only Agent 007 can save the world from certain disaster. Armed with his license to kill, Bond races to Russia in search of the stolen access codes for "Goldeneye," an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: Alec Trevelyan, a.k.a. Agent 006, a mastermind motivated by years of simmering hatred. As Bond squares off against his former compatriot, he also battles Trevelyan's stunning ally, Xenia Onatopp, an assassin who used pleasure as her ultimate weapon. When the horrifying extent of Trevelyan's plan is revealed, Bond must call upon his sharp wits and killer instincts.::Robert Lynch <docrlynch@yahoo.com>&&1986 - Soviet Russia has been arming international terrorists with chemical weapon technology, and a chemical weapons plant in the mountains is the target of James Bond and his closest compatriot, Alec Trevelyan. Infiltrating the compound, they are spotted and Alec is captured. When a ruthless Soviet officer, Oromov, executes Trevelyan, James pulls off a spectacular escape and succeeds in blowing up the compound. Now in 1995, he is assigned to tail former Red Air Force jet jockey Xenia Onatopp, who is working for a Russian crime syndicate known as Janus, but he is unable to stop her from stealing a powerful helicopter - a theft initially dismissed as a possibility by MI6's new leader, a woman who is a bureaucratic bean counter who, despite her acidic responses to grumbling from her ticked-off men, is having to learn her job as she goes, and who has to trust James Bond's instincts after a nuclear accident occurs over a Russian region housing the tracking station for a weapons satellite known as Goldeneye. James must track down the stolen gunship and all leads to a second Goldeneye system, and along the way he is horrified to find the true identity of the Janus syndicate, which leads to a spectacular running pursuit from the stolen gunship through a Soviet army prison to a wild street chase involving a tank and confrontation with a Soviet missile train, and eventually a showdown in the jungles of Cuba.::Michael Daly&&9 years after infiltrating a chemical weapons facility in Russia, where friend and fellow M:I-6 agent Alec Trevelyan 006 was killed by corrupt Russian military officer General Ourumov. Seductive British secret agent James Bond 007 is assigned by his new boss, a female 'M' to recover "GoldenEye" the access key to a top secret space weapon orbiting the Earth which fires a electromagnetic pulse which shuts down all electronic equipment. The "GoldenEye" has been stolen from the Severnya space research station by General Ourumov and the lethal and deadly Xenia Onatopp and slaughtered everyone at Servernya. Helped by Russian computer programmer Natalya Siminova, who was the sole survivor of the Servernya massacre and witnessed Ourumov and Xenia steal the "GoldenEye", Bond learns Ourumov and Xenia are working for Alec Trevelyan, now a renegade M:I-6, and 006 plans on using GoldenEye to wipe out London. 007 and Natalya set out to Cuba where Bond faces Trevelyan in a thrilling showdown as 007 sets out to save London from destruction.::Daniel Williamson|http://ia.media-imdb.com/images/M/MV5BMTM5MDQzNDM5NF5BMl5BanBnXkFtZTcwMzk3MDE0MQ@@._V1._SX100_SY137_.jpg
